transaction_id,event_id,venue_id,entry_id,timestamp,item_category,amount,payment_method,tab_ref
BT0001,E001,V001,DE0105,2024-11-17 00:59:00,drinks,9.00,cash,
BT0002,E001,V001,DE0005,2024-11-16 15:20:00,drinks,10.50,card,
BT0003,E001,V001,DE0096,2024-11-16 03:31:00,drinks,14.00,cash,
BT0004,E001,V001,DE0084,2024-11-17 16:55:00,drinks,10.50,card,
BT0005,E001,V001,DE0113,2024-11-16 19:30:00,drinks,8.50,card,
BT0006,E001,V001,DE0084,2024-11-17 11:34:00,drinks,17.00,card,
BT0007,E001,V001,DE0100,2024-11-17 10:16:00,drinks,10.50,card,
BT0008,E001,V001,DE0151,2024-11-17 02:21:00,drinks,8.00,card,
BT0009,E001,V001,DE0088,2024-11-16 20:33:00,drinks,14.00,cash,
BT0010,E001,V001,DE0029,2024-11-17 09:35:00,drinks,9.00,card,
BT0011,E001,V001,DE0199,2024-11-17 05:58:00,drinks,9.00,card,
BT0012,E001,V001,DE0147,2024-11-16 16:40:00,drinks,8.50,cash,
BT0013,E001,V001,DE0147,2024-11-17 16:19:00,drinks,12.00,card,
BT0014,E001,V001,DE0036,2024-11-16 07:27:00,drinks,14.00,card,
BT0015,E001,V001,DE0115,2024-11-16 14:56:00,drinks,9.00,card,
BT0016,E001,V001,DE0118,2024-11-17 02:51:00,drinks,14.00,card,
BT0017,E001,V001,DE0181,2024-11-16 18:55:00,drinks,12.00,card,
BT0018,E001,V001,DE0165,2024-11-17 06:45:00,drinks,16.00,cash,
BT0019,E001,V001,DE0205,2024-11-16 06:15:00,drinks,8.00,card,TAB547
BT0020,E001,V001,DE0009,2024-11-17 11:00:00,drinks,14.00,cash,
BT0021,E001,V001,DE0086,2024-11-16 06:57:00,drinks,8.50,card,
BT0022,E001,V001,DE0200,2024-11-16 09:08:00,drinks,9.00,card,
BT0023,E001,V001,DE0120,2024-11-16 15:34:00,drinks,8.50,cash,
BT0024,E001,V001,DE0120,2024-11-17 09:21:00,drinks,9.00,card,
BT0025,E001,V001,DE0166,2024-11-17 15:57:00,drinks,14.00,cash,
BT0026,E001,V001,DE0178,2024-11-17 06:51:00,drinks,8.00,cash,
BT0027,E001,V001,DE0002,2024-11-17 04:23:00,drinks,8.00,card,
BT0028,E001,V001,DE0110,2024-11-16 12:09:00,drinks,12.00,card,
BT0029,E001,V001,DE0197,2024-11-16 23:59:00,drinks,17.00,card,
BT0030,E001,V001,DE0148,2024-11-17 03:10:00,drinks,9.00,card,
BT0031,E001,V001,DE0053,2024-11-16 23:22:00,drinks,9.00,card,TAB716
BT0032,E001,V001,DE0217,2024-11-16 05:46:00,drinks,9.00,card,
BT0033,E001,V001,DE0084,2024-11-17 00:21:00,drinks,10.50,card,
BT0034,E001,V001,DE0042,2024-11-17 06:16:00,drinks,12.00,card,
BT0035,E001,V001,DE0056,2024-11-17 03:14:00,drinks,8.00,card,
BT0036,E001,V001,DE0113,2024-11-16 09:12:00,drinks,16.00,card,
BT0037,E001,V001,DE0191,2024-11-16 16:12:00,drinks,16.00,card,
