booking_id,event_id,artist_id,agreed_fee,payment_status,rider_requirements,cancellation_terms
BK001,E001,A014,500,paid,basic_rider,30_days
BK002,E001,A004,1500,paid,standard_rider,30_days
BK003,E001,A001,6000,paid,premium_rider,60_days
BK004,E001,A002,6000,paid,premium_rider,60_days
BK005,E001,A015,400,paid,basic_rider,14_days
BK006,E001,A006,1500,paid,standard_rider,30_days
BK007,E002,A013,1200,paid,standard_rider,30_days
BK008,E002,A009,4000,paid,premium_rider,60_days
BK009,E002,A007,1500,paid,standard_rider,30_days
BK010,E003,A012,800,paid,standard_rider,30_days
BK011,E003,A008,1800,paid,standard_rider,30_days
BK012,E003,A003,3500,paid,premium_rider,60_days
BK013,E004,A014,500,paid,basic_rider,30_days
BK014,E004,A005,2000,paid,standard_rider,30_days
BK015,E004,A010,5000,paid,premium_rider,60_days
BK016,E004,A012,1500,paid,standard_rider,30_days
BK017,E005,A011,1800,paid,standard_rider,30_days
BK018,E005,A006,2500,paid,standard_rider,30_days
BK019,E006,A004,1500,paid,standard_rider,30_days
BK020,E006,A001,6000,paid,premium_rider,60_days
BK021,E006,A015,400,paid,basic_rider,14_days
BK022,E007,A007,1500,confirmed,standard_rider,30_days
BK023,E007,A012,1800,confirmed,standard_rider,30_days
BK024,E007,A009,4000,confirmed,premium_rider,60_days
BK025,E008,A037,500,paid,basic_rider,14_days
BK026,E008,A011,1800,paid,standard_rider,30_days
BK027,E008,A003,3000,paid,premium_rider,60_days
BK028,E009,A038,500,paid,basic_rider,14_days
BK029,E009,A005,2000,paid,standard_rider,30_days
BK030,E009,A010,5000,paid,premium_rider,60_days
BK031,E009,A025,1500,paid,standard_rider,30_days
BK032,E009,A036,600,paid,basic_rider,14_days
BK033,E011,A037,500,paid,basic_rider,14_days
BK034,E011,A004,1500,paid,standard_rider,30_days
BK035,E011,A002,6000,paid,premium_rider,60_days
BK036,E011,A016,5500,paid,premium_rider,60_days
BK037,E011,A014,500,paid,basic_rider,30_days
BK038,E011,A006,1500,paid,standard_rider,30_days
BK039,E012,A036,600,paid,basic_rider,14_days
BK040,E012,A013,1200,paid,standard_rider,30_days
BK041,E012,A009,4000,paid,premium_rider,60_days
BK042,E013,A038,500,paid,basic_rider,14_days
BK043,E013,A008,1800,paid,standard_rider,30_days
BK044,E013,A017,3000,paid,premium_rider,60_days
BK045,E013,A029,1200,paid,standard_rider,30_days
BK046,E014,A040,600,paid,basic_rider,14_days
BK047,E014,A021,2000,paid,standard_rider,30_days
BK048,E014,A018,3000,paid,premium_rider,60_days
BK049,E015,A039,600,paid,basic_rider,14_days
BK050,E015,A022,2000,paid,standard_rider,30_days
BK051,E015,A020,4000,paid,premium_rider,60_days
BK052,E015,A030,1200,paid,standard_rider,30_days
BK053,E016,A014,500,paid,basic_rider,30_days
BK054,E016,A006,1500,paid,standard_rider,30_days
BK055,E016,A001,,paid,premium_rider,60_days
BK056,E016,A016,,paid,premium_rider,60_days
BK057,E016,A015,400,paid,basic_rider,14_days
BK058,E016,A004,1500,paid,standard_rider,30_days
BK059,E017,A037,,paid,basic_rider,14_days
BK060,E017,A005,,paid,standard_rider,30_days
BK061,E017,A010,5000,paid,premium_rider,60_days
BK062,E017,A025,1500,paid,standard_rider,30_days
BK063,E018,A036,600,paid,basic_rider,14_days
BK064,E018,A011,1800,paid,standard_rider,30_days
BK065,E018,A020,2500,paid,premium_rider,60_days
BK066,E019,A038,500,paid,basic_rider,14_days
BK067,E019,A022,2000,paid,standard_rider,30_days
BK068,E019,A017,3500,paid,premium_rider,60_days
BK069,E019,A033,1500,paid,standard_rider,30_days
BK070,E020,A040,600,paid,basic_rider,14_days
BK071,E020,A023,1800,paid,standard_rider,30_days
BK072,E020,A019,3000,paid,premium_rider,60_days
BK073,E021,,600,paid,basic_rider,14_days
BK074,E021,,1200,paid,standard_rider,30_days
BK075,E021,A009,4000,paid,premium_rider,60_days
BK076,E022,,600,paid,basic_rider,14_days
BK077,E022,,1800,paid,standard_rider,30_days
BK078,E022,A003,3000,paid,premium_rider,60_days
BK079,E022,A030,1200,paid,standard_rider,30_days
BK080,,A040,600,paid,basic_rider,14_days
BK081,E023,A024,2000,paid,standard_rider,30_days
BK082,,A018,4000,paid,premium_rider,60_days
BK083,E023,A029,1200,paid,standard_rider,30_days
BK084,,A037,500,paid,basic_rider,14_days
BK085,E024,A021,2000,paid,standard_rider,30_days
BK086,,A017,3500,paid,premium_rider,60_days
BK087,E024,A033,1500,paid,standard_rider,30_days
BK088,E025,A038,500,paid,basic_rider,14_days
BK089,E025,A006,1500,paid,standard_rider,30_days
BK090,E025,A002,6000,paid,premium_rider,60_days
BK091,E025,A001,6000,paid,premium_rider,60_days
BK092,E025,A015,400,paid,basic_rider,14_days
BK093,E025,A004,1500,paid,standard_rider,30_days
BK094,,A014,500,paid,basic_rider,30_days
BK095,E026,A005,2000,paid,standard_rider,30_days
BK096,E026,A016,5000,paid,premium_rider,60_days
BK097,E026,A012,1500,paid,standard_rider,30_days
BK098,,A031,1800,paid,standard_rider,30_days
BK099,E027,A039,600,paid,basic_rider,14_days
BK100,E027,A007,1500,paid,standard_rider,30_days
BK101,E027,A020,2500,paid,premium_rider,60_days
BK102,E028,A037,500,paid,basic_rider,14_days
BK103,E028,A032,1800,paid,standard_rider,30_days
BK104,E028,A019,3000,paid,premium_rider,60_days
